m0,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,m13,m14,m15,m16,m17,m18,m19,m20,m21,m22,m23,m24,m25,m26,m27,m28,m29,m30,m31,m32,m33,m34,m35,m36,m37,m38,m39,m40,m41,m42,m43,m44,m45,m46,m47,m48,m49,m50,m51,m52,m53,m54,m55,m56,m57,m58,m59,m60,m61,m62,m63,m64,m65,m66,m67,m68,m69,m70,m71,m72,m73,m74,m75,m76,m77,m78,m79,m80,m81,m82,m83,m84,m85,m86,m87,m88,m89,m90,m91,m92,m93,m94,m95,m96,m97,m98,m99,m100,m101,m102,m103,m104,m105,m106,m107,m108,m109,m110,m111,m112,m113,m114,m115,m116,m117,m118,m119,m120,samplen,typexpr,express,subject
11138.936157115571,11050.620924568368,-14868.254319036538,-11082.728505012821,-16878.843594465383,-5933.089992593197,-17729.417516657806,12575.018803807221,6343.512512817514,3628.414700920516,8702.625498736319,2710.5579290336677,5260.540414156865,-3344.5895753459818,-5764.965981868233,-2624.233766379109,-5717.6892478290965,-5260.666979130908,-1383.542889012376,-228.31264371617777,-13028.364953567605,1352.1548182411932,704.6511087122557,-122.09176380732971,1110.433590884169,4190.638485987324,1093.9444714544663,937.4746759709908,-4892.699764164543,-420.2408734386463,20533.404889616344,3834.3904017786767,-4037.0414062392774,5359.663697183151,1808.4901565269115,92.1030063354739,4429.761958178738,3851.6091392709277,-2714.635228813804,6681.294398699573,6321.86321328342,565.14291637682,-12126.712051529375,-2144.6851309497792,2164.079684385691,-2125.6511136940276,-8378.515698830672,-2796.931353202671,-1122.833883788207,-5238.7623078842225,-3148.4854841327974,-1505.3066149270862,-2171.1726980012804,-11771.801726228947,-4507.550829709622,-854.9990256962664,6803.05235231793,3552.4453195139645,-390.7965627891518,2121.7783957970864,6923.115159963919,8013.570248711705,5374.259739239545,1659.804483969032,6044.067822333303,5775.844351171096,4397.104217613223,2630.0229021404275,9531.066306793875,9488.99688627921,3824.4944006645637,1061.9869151045625,-758.0115272672306,-5827.964939127081,5821.423349510145,-4593.914372250717,-5310.819292568785,-7511.202783355302,-11170.05615332635,-6606.97670309371,-2033.7633433872056,-7708.164085583464,-7068.96610403677,-3388.442947954669,-6094.8890779673975,-5673.493874512369,-12131.87593421051,-7079.396270017641,-3079.0938958751844,-1432.1067198050487,-7550.92985217362,2772.1843256666066,-6110.117474720005,-857.8097132343233,8573.389964041999,8024.663542098803,8005.500792146371,14016.102237200028,7544.008312610204,2055.863150674855,5350.504557792955,3520.9925358047662,1702.3261395105767,5044.346207398091,6996.578920150555,12210.574985439189,9216.833741979097,4605.472024453305,3578.870290302298,1665.6618323916696,13627.70135543934,-2483.151752552988,1730.2352839613286,2244.302622458435,-5219.982389970665,-12350.984084846365,-4566.596388674135,-12180.425945769899,-17035.555565925402,-6591.685195977721,-2047.3325155115963,3,N,N,72
9025.676822741385,8824.55060651132,-15659.741904071909,-7817.592923276338,-15963.317942460255,-4105.923484159291,-12993.47865256976,8345.341532312583,4019.3494443901136,5120.644367172107,6203.835464882596,585.564134954981,8463.530647466441,-2384.0914471867554,-1959.0329244063664,-3143.9569627916335,-2465.952134379433,-4919.066131256858,2210.4649441240717,286.2425314723397,-8514.646648211152,2350.583966480969,-3920.247277667869,1370.0008922342406,2835.6019023121194,3367.9663326539035,2291.5621401782114,-3518.253575068923,-4279.628723030592,154.98316286760743,16202.04874167547,833.0028587056772,1433.067039765942,6257.90287764831,-1658.8841727972344,-2130.64376276535,2217.2945061331025,3629.675061846188,1544.816589956627,8986.983296217584,2342.0014900296637,-507.5103020009281,-12255.69057743375,-1354.0415982519592,4815.61587259479,-8272.25921069489,-5022.522189071301,322.8908709725207,1338.8873958285992,-5306.13163344125,-3330.1353434018306,-527.63391701775,-10338.351023259233,-7555.330530193576,-444.6864112716027,276.648690862762,5702.132995753419,-49.117187087095076,-4280.432532535937,3611.011254145248,7851.411163359151,5645.6888054593055,1671.551711821424,-1173.2821927829934,4797.028077135646,274.29394326289275,1042.7683284795717,7139.337457018657,12155.731666352813,3823.4368039676133,734.1673971570634,-195.22477217100118,-1355.75673806859,-2280.1060783853873,1988.4933811093545,-1733.7994133120303,-6231.623257765812,-7432.692895110472,-8668.334262128315,-1332.601535035768,1152.1103425385108,-5245.468574939256,-2146.107635542478,-1041.2211761330557,-4710.3159349080115,-12061.807322120832,-7845.626753475362,-3680.9334458860403,-304.8572224803342,229.08561831093618,-4608.003973459169,2773.526624534653,-2991.8990943307917,1768.571895946143,5012.955985120812,6068.990408100774,11846.618043656179,7432.569300738272,898.8098388895926,-1079.1136552354492,4305.546055409507,2761.6167360510185,-699.6208131041275,3695.626313919597,8712.550324041886,11313.082066543606,6622.894225209246,1833.0101629576773,6.976461716014569,-259.61883163218005,7200.31203521967,671.7722970680497,565.2481483281616,-2099.43622734267,-4371.846302937311,-6497.941825119742,-8502.510693235923,-12776.074326944934,-6233.810337116208,-419.4598034926498,936.9192395253781,3,N,N,93
8766.890885273962,8362.517206077267,-12758.514264214698,-8980.610813948659,-12542.343216570074,-4708.934122371273,-11966.893161960359,12108.677525723257,4677.707667636098,2552.642466494104,7294.097077502321,1858.3412629481174,2358.6875459739913,-6216.22905209732,-6025.069747158238,-1711.3113949141682,-4824.261626226968,-5062.033491860567,-1535.90707461985,40.18548180464667,-7567.859488431554,3935.2848166961876,4426.542945099587,740.074870402744,387.601565884995,4659.631318881328,2828.6276484814866,1207.4816295261098,-3083.4086697408047,-576.5497039798239,14132.982202498219,104.75328452899697,-5635.345303526888,-800.3266702993596,1996.7759919586624,410.5288628798995,803.3308178000901,-10.460435862198716,-1897.3060196832303,3384.4683543473884,4760.56458879515,456.98624425950436,-10307.585694971905,231.41338416034407,3646.8413781349536,4382.855620172037,-3105.0436275338434,-3440.4049856363167,-1128.6507821105472,-1471.1580639763492,1336.5087175421945,-1250.7676119474318,887.3133846817722,-7873.378710378797,-3732.971822299816,-419.46348867968106,9626.973386418584,1260.2326357884745,-778.7558480518258,-5051.001423787238,1107.772953174619,3766.790731958037,5611.119148122569,1516.6133508408807,3295.520232759577,-653.5956934595946,3598.4952447225887,-658.2168726308269,5149.861651077226,6892.34941398032,3054.3843152790137,477.5999331109175,-5869.165399771267,-3902.4236142838927,1301.6914829396737,4520.820202172567,772.9734596554148,-2110.472722010817,-6632.51800767084,-6977.809724743833,-1548.2155895607343,-5469.164347906013,-1318.202580425621,-2195.4644356218214,-2392.6849848682486,-1489.8731965176826,-7114.7238883315595,-5514.828331654129,-2841.215945891336,-456.763284238924,723.5299339220905,1935.079753880776,665.7620087486918,-5546.61579673183,-3163.186849238356,3359.5367501058195,3753.293604596751,9290.665871314799,7060.134138197175,1482.0232610379908,4853.99639014336,377.87676519444227,2048.944383139806,392.1351095874966,1037.282743228682,5998.912465042527,6677.302094667118,4584.132265121452,2420.561882275849,438.1187407851943,4116.999190971337,-3132.9449672697447,-2380.5650128129296,2318.484251057039,4397.8708175772545,-2532.1402026013884,-4362.028771101261,-6016.644477099661,-10387.940344528108,-6728.889310256323,-1392.6192587892908,0,N,N,26
9585.26560265249,9494.759938077732,-12749.23597309858,-9391.8916760995,-14678.667204968933,-4712.533353812366,-14461.940790898172,9882.850858438473,5504.749761702522,3731.9509226257446,6250.069596630367,1692.6481977406438,8724.248038979564,-5355.587422838955,-4406.544138310106,-3046.521544130292,-4047.0079084968365,-5615.8991309279545,52.33622400235775,-140.37380444213807,-13157.568078435253,1274.7715203406,2332.286839141181,-270.77526118856514,2033.2458270802422,2232.3427182659116,2516.2770001127496,765.4374573061867,-4525.374907896183,234.53965780085926,15584.990141841134,5643.330179388103,-3514.73760731147,2915.5166558631213,1440.7852606925867,-897.4087265736091,4314.58012593446,3786.4181518081414,-1627.2926694733626,6020.6780142272455,3833.9712095292066,-324.3837158798912,-10072.567323792153,-2248.4381565772183,914.2482956309374,689.7834730046953,-4851.927470833884,-3597.696590936393,122.11579566485757,-5935.789239824544,-1972.5444056388708,-2170.2365527618845,-2478.7642330405674,-7959.216856738692,-2154.2303760994673,242.9157505590995,1756.854101523583,3757.789874738322,827.9642305891573,-133.70255787327784,2748.43182839082,6550.215811264216,6113.013407271278,128.83380352858396,5610.239400559151,3038.3453117285953,4350.46071556131,1735.3232172912747,8329.947283472711,5162.235555677419,1948.1196424475074,-272.7570536470993,2773.285676135657,-3624.768158068902,-208.6620675553227,-1126.1046435575156,-3456.830864590309,-2575.9586302009343,-11335.85918758306,-6500.294238777315,-216.93497050978692,-5654.915554051922,-4370.856221630659,-3545.257600480544,-4426.638632494944,-6307.237966430796,-7476.974564348034,-4547.711847596659,-1639.8581899832182,330.0207238932452,-7720.757180386334,652.7820979558836,-812.8800671844799,1010.5951537358915,2448.777963056637,3796.8316879468157,6316.142501673032,13233.941550370084,5720.312374802203,293.3488220749415,3531.3064892694547,1836.641830982421,1318.8238301380902,3691.299486503111,4689.495416622644,9057.017142925612,6006.572055325047,3837.8494450136345,1118.2699451603387,-341.8353674671982,10671.601188735181,1060.7955709420876,-2229.338554047394,-3332.263364253593,-2432.974161114403,-4861.4384996889485,-3884.5135323729264,-10244.629106508897,-12767.665615575426,-4550.539983634828,-397.8835633821179,3,N,N,96
9677.257159759605,9664.245595739969,-17083.77044232938,-7545.479830877425,-17065.226314061896,-4685.435992120951,-14169.188923915666,8952.990964030898,2569.993105867974,4784.294887337151,7391.6921732539395,1185.9456619274983,7121.935043836337,-2824.9120546525514,47.69185583644598,-176.59198211700988,-3371.0612537734482,-4822.1477134083,1389.6133386994723,599.3504799209346,-8630.275938009223,3428.6903556440866,-4807.209491066796,-4337.036384647448,-478.02710278561136,4980.294194241591,2460.312512490517,-4122.815189368212,-6555.21257151217,-758.390207165727,18862.579642027304,552.8353986794681,748.8829640016717,9913.683034477488,4241.703835245534,1051.7734247937456,1731.5534037738337,3077.845068895505,1730.0247112062136,12641.4114696337,5911.925599112257,823.0072873606439,-14147.04130539494,-2245.4244339892352,4485.148762113099,-8358.93554515258,-8477.415244630236,-5235.0060734691315,-1186.2691630660527,-4816.1197395362715,-4192.7960990512565,-1606.4230683496032,-10781.29836853143,-12229.884479912014,-4908.378812546887,-741.7934742603053,8689.05711739169,1308.0194285989987,-4354.298125804307,2855.9137327271355,9452.885133443695,8966.731330384819,5434.482329393663,1160.932422340034,5120.878674601947,2029.450209194633,3734.3895704595993,6090.161070409744,14409.497144347006,9269.315873561614,3839.4527123533003,634.8707582764482,-3187.3103874558356,-5262.370016222471,4228.591077069737,552.5859422632649,-8536.5859983127,-8873.893408503158,-10175.489421426786,-4884.163223647739,-1116.007928354456,-6842.5271273764865,-4946.16664488496,-2494.32345944746,-4492.24043616038,-13018.88663865614,-11678.307711651243,-6750.126451910803,-2650.363128855097,-600.0369184999015,-4692.571839931838,4674.293206531832,-4658.9609162205115,-2251.6225416993566,6126.063209371945,7953.850296600909,10889.279268686118,9892.14713240261,4416.147237638233,1035.9656354464844,5957.7047528999465,5207.873458016915,1022.8058492233523,2822.5416382776893,9440.825357773037,13552.341096100514,8226.27343566161,4129.45334104186,2083.9054959030063,572.2913082593069,9714.084668359943,-1260.0879897409047,2558.8497233313574,1603.7017895992376,-2878.9807867133954,-8255.823170750336,-7886.781326131183,-12636.238907783,-9266.7820796181,-3661.3882883493934,-1001.3675961386143,1,N,N,55
9050.186683977538,8796.66040574856,-17546.896708572578,-6762.675678932033,-15591.225689262235,-3538.0577590239886,-11857.920505247337,10975.62118366022,2514.3967577001504,4821.979091503483,7063.224666273511,239.71311746601398,5399.175638885595,-4711.91552647032,-3587.1969573292054,-658.448008079403,-3422.1274930061586,-6195.36208651129,888.0866129835025,514.1067503346598,-4964.378419320624,3267.109467615197,-1722.2063648571684,1114.505594311631,-980.792088342941,5006.39061890644,3341.814558609457,-3301.382770492265,-2585.1391918015634,-994.3417704251851,14073.268305061176,-1779.9969386762116,1130.7390138848948,1878.6579509037508,2196.0520429707312,1746.0923777204594,-507.87269597657865,412.33912787010956,2918.977793553631,6169.593472287176,3088.3690877355452,1245.448971980018,-10285.580386426209,-913.3647667708949,4407.352687408604,-2655.7221676718405,-4049.6327693115613,-4582.189869949141,-1756.9424539922393,-1182.8852121998216,-1258.1521136370202,-280.0741518947046,-6709.6863670786925,-6402.518066938792,-3467.3478216553503,-1152.6507876152466,9636.07506396062,-662.4001496402648,-2928.939282706747,275.80911989381445,4858.012553251639,7279.473672490978,4837.378491082971,1454.4574002753134,1706.3730227125077,-1031.0651841953306,1180.4257483876906,3481.6817187710603,8577.326677273924,6558.733154323139,2785.130697848977,873.7233702955713,-8525.44169116351,-2139.3049711880203,1666.0387150217678,187.95282075935512,-4619.89373933665,-7594.974236033124,-8519.882981683364,-4262.607425338601,-1064.194886867904,-4153.822899429857,81.81078402000132,-991.7986003888888,-2066.5489918955577,-8199.102820917677,-8640.478861811436,-5579.993687563219,-1654.6438326452012,-518.0064328219867,2063.515804820235,4304.449272104289,-696.3384567889212,-862.5560223037544,5252.365786068677,5943.153558991422,10471.108154345931,8235.759243462247,3526.7565319279315,736.7152345038463,4399.753841215984,2432.978079144844,409.42058646107455,536.0089864891241,7020.473586145011,9232.808287598085,8135.514384696725,3806.832572325706,710.7384156415376,213.76217304170706,402.716817777632,-1316.490000886491,-1469.695470730349,-109.9396972680804,-4869.946903728118,-6852.055224665206,-8443.589244017094,-11635.79338761365,-7261.23143060492,-2771.1611873123056,-471.8342668388674,3,N,N,90
10435.789618535578,10269.206154996427,-13877.845606546338,-10395.86340425053,-15628.25129299382,-4971.930880204149,-15930.780537027022,11802.028400232997,6496.173659734729,3393.247789996815,7400.433883309556,1860.4529805962532,8333.283258576166,-6953.928208455799,-5152.442865271149,-3952.0825166547093,-4427.102934968384,-6827.452229742454,116.88757008186039,-416.5967808145287,-14277.592857728301,3479.0013978388156,2150.710744108191,704.8778974690516,2610.5514708636915,3055.1920529387658,3063.4075582488863,398.179764943819,-4483.333274234354,332.84914060461756,18259.789336685822,4502.102502457166,-5954.544312546391,3023.0216960571033,1249.002941394457,-1492.2349568500827,4182.305189004876,3221.42860317498,-2234.1201519580422,6232.166821622437,4883.7219783995215,-680.9962546681613,-11959.810227049573,-2815.2979782645175,3960.9956563731957,1808.3429389313144,-6420.156607942507,-2514.7402545952677,182.52179701896802,-6232.347015322253,-1127.2898180143495,-2125.615623483366,-2093.365701091259,-10079.424791114046,-2383.7154249358255,286.47696705040863,2586.0556784460223,6130.680678009451,-388.2228948828704,-4052.3488250083024,3913.8144117827387,6610.516952809969,5861.56389613181,208.78742225656873,6613.777038680382,3884.9017876386174,5496.45141686537,950.6080351138984,9883.182045946209,6306.168779790281,2595.676044098918,-93.1503607790982,2566.162975656923,-5391.891911487496,-210.821194240197,5150.5684302957,-1873.0323622513617,-3563.6758419524117,-11730.482159898007,-6284.363071079967,-322.1343722943492,-7223.239148534418,-6317.31446836977,-5151.642429592788,-2474.504059632431,-6323.855054224671,-9410.134945575091,-5401.288937173262,-2198.1924954832803,4.379028115801204,-9208.627521390537,1065.7431017959452,-926.6911592358649,-4701.864595699452,-1853.0218611903194,4775.0930246664475,6852.390116821163,13774.550964696895,5811.234058925772,360.9503668732449,4674.144991844643,3340.2548883709037,2755.898524126984,1917.2886485293807,2572.240423235872,11684.923819919739,7305.277836738016,3928.0065902337187,1721.4446430468556,48.45029553382883,13978.660683614331,970.0772253935684,-1821.905320469455,517.7542743320387,3493.0304994036555,-4823.744486064326,-4141.901368840087,-10889.191996252473,-14259.604453712504,-4918.603754886458,-411.7298877044414,1,N,N,5
8848.05990625083,8958.629665023876,-9014.670634645114,-9106.534411037612,-11625.08212405342,-4511.85387046649,-11511.016421774133,8929.806015011429,5835.286399717398,2289.9025252205265,6248.450987512,1718.0556414504838,3995.800064527647,-5329.189402817477,-3242.147565884308,-3223.413083375264,-4566.095581981315,-5021.240094654108,-404.2134114251439,358.91641447265545,-9039.200803697659,687.6674171391791,2390.320183948866,-1805.8533945814395,2449.7060117179644,2633.2172380875227,166.41981726854374,784.6574820961614,-4683.662776197242,-638.0557611704661,11863.490090346699,2190.7789028923403,-4636.39705376906,1868.813762842986,3467.3217768528534,-1851.0492621972053,1615.0241924272702,1897.129419262395,-113.33326474146217,4288.5471708139985,5676.072623182473,255.45250158139152,-8601.891579768027,-811.5710791941555,1706.6202618626135,3415.094915506815,-5937.825449458666,-4692.961970179587,1167.3877684568165,-2251.0844494446947,-608.9180897874085,-3395.3753749810962,-551.7755014136201,-9141.156419102372,-4239.640351994239,2.2592588281924924,5359.249263649561,3436.385096861368,-976.5278136200404,-3413.4463882667396,2372.8551606563447,6401.6183719354385,6590.551964432382,-707.8579018022778,3306.116073716157,2976.736883068587,3755.84031276285,1947.6328106415406,6638.397986695178,8229.547229431522,3050.2971904164237,-56.77525687859041,-3125.8632696886875,-3011.8807924750877,2699.9239035291307,3153.855884047068,444.71872267226536,-3665.146672467343,-8756.500353171414,-7690.494767015595,588.5647372912533,-4622.500956061404,-2497.440438370648,-559.2431058749258,-3595.1910908517934,-3165.566884048628,-8953.382642284414,-6325.9142037396905,-2078.0944160406348,67.81544401273105,-3303.4020355231232,3698.6548834725413,-1567.823649665895,-937.9696175477245,-3282.33315674983,3806.329784111369,5216.639956066443,10887.99665743022,8019.147346702826,-670.0538642922264,3457.3245037465576,3365.8503210605227,476.4000093217858,1855.5410650273368,2055.6042352934305,7301.320263178142,8798.20186899252,3899.4066572045285,1542.9090925729147,-97.92061852951676,5526.605171522072,-2693.7067970855524,644.6284341700683,-850.8128390862761,1101.7284911484908,-506.39330663370845,-5527.290405078627,-6666.478331940589,-13014.727465346095,-7448.773555466544,770.2178628750498,0,N,N,27
9059.735980563051,8695.49246203792,-14946.784062026594,-8255.47794375725,-14201.312829174532,-4204.533459072687,-12165.101862614218,11444.724007005861,4128.5290525596065,3977.9524882247083,6710.565591364413,1512.8882691957472,5033.684363527534,-5990.109088045767,-5393.527997953211,-1163.7495733185879,-4936.766454263194,-5229.337760213468,-1275.7234067822728,456.14134764441405,-8722.530230178043,2944.6366624714856,3502.8715310558887,-603.3457638333788,308.79025696080924,5255.139935540602,2124.433510112339,1580.1763573325409,-3814.4765454365606,-669.9811129065695,16136.400453611172,2334.439892191488,-5648.780285376664,2809.5534189086634,2179.7801197625718,382.9735423773902,1200.6217407496622,1934.5529545587844,-1920.7949292869323,4855.987408508226,4416.263657212628,632.8141826509101,-11384.575502817912,-2376.1845295276653,4824.694754361137,1910.8418507280908,-6102.809128282035,-3481.9964405622313,-648.4449814805922,-2937.758731677838,-541.4613522406054,-1097.4839752886162,-944.7036413184933,-8295.748568345816,-3898.0983421134456,-351.9325056280111,9280.85754878168,1817.3187294001298,259.14246272313517,-5759.107829691282,4283.049622500475,7440.570073764862,3619.972709817228,879.8838918219478,3908.1750417527073,333.0516037355198,4237.268810134377,-1417.4559395222343,6859.1255960320905,8300.376065749257,2394.078774245415,171.1483466400046,-6347.884305885284,-4481.473937106083,51.814620101470446,3438.710255189472,-539.4960342502483,-7040.687168864037,-7661.137343309698,-3600.7288299918705,-1082.4129717958988,-6570.836321970548,-3032.8643211164053,-2661.932960448594,-2384.152586156505,-1906.7475222962673,-9616.345573654366,-5933.132202231869,-1101.4623803078769,-199.38120935797585,-1226.737050399089,4150.9477315915465,-1397.5077331389668,-1649.2291198271478,-1886.8559665810185,6457.497745231842,8216.873838585816,7679.465359185883,3377.9799421668436,1175.2526367153275,6201.450910391405,3120.023602182467,-87.71222353539206,3382.426039520155,1325.1115108877034,7813.268996468102,8867.439941315508,3312.396868499776,290.1824193827917,366.62550840767864,6469.718880211176,-2656.507057384164,-1140.6990403179752,-1154.1249589336915,2750.409911222173,-4091.9575326283207,-8394.047252128677,-8716.098242002396,-7190.430670817263,-3142.700988968362,-1097.6147052725594,0,N,N,28
9434.068406715189,10033.635443992089,-8855.878664926904,-8429.096992785584,-12507.23343648555,-4554.341326485835,-12165.496782899238,7543.062688685785,4542.106455506302,2953.3544582161153,5414.796249124701,1531.26007582031,5655.3575905649905,-4400.458849838944,-1919.5936413582863,-876.0954927932027,-5078.192571396687,-4499.757840420255,160.6436680276989,1204.2692594523298,-12671.795634126442,-973.6037685259816,1338.209054500189,-4845.761677222815,-55.09203803493293,1024.846679988306,-1044.285713147681,-291.702784262185,-6569.391219931642,-1048.5409857448933,10874.197380999743,5297.182155457278,-4843.709847722348,3447.7194074318927,6132.18084326232,1747.1007947465882,3209.909449368462,4338.669945390144,-612.0776430721911,6752.805821680573,6194.243024932843,1092.298773944583,-6780.880785398786,-1666.2688429787945,845.3150276778903,1693.094622165282,-5708.469763425876,-9873.525071181966,-2936.2378196900077,-3640.8767565229637,-2258.8118809986395,-3323.405905041731,-1456.5100968663257,-9286.14623418119,-6423.467008749769,-1470.5699651154139,958.4473886550967,4128.766117108223,-566.0799871474518,28.13590413836563,3243.9591222436557,8275.735396905864,11755.002530708707,3003.561466303095,3635.870481259567,4107.2429652331675,5325.785836605803,2143.8327188213184,7574.172620748698,9037.30818815485,6268.580054254399,1178.1177173679814,1935.2234618551804,-2329.492514672118,2449.197501942652,2619.4290780084666,-4877.717473516728,-3142.69151906768,-11077.507222960181,-11590.811315478157,-3211.136403835699,-3347.416058104317,-2098.5399420166495,-604.0467945785848,-3675.300643106661,-5296.151786364847,-8180.28970211927,-7414.289444180008,-4893.033839459028,-1143.9767034264712,-6655.475025513023,1365.5786886767273,988.8294440002894,-431.0781850023352,906.7632110746079,7366.049842807331,5055.849605393528,13704.948973815906,11331.459538234207,3145.471221365931,399.97930384625766,2156.9029499970593,225.89968334071773,2430.1873038346125,3381.145690280731,8991.361568978904,6707.2357903023,6540.91395106704,4237.35645299153,1135.6582114611158,4136.873080298919,536.4526486406533,-2540.550542972439,-3703.163959224856,369.81374871182396,-7135.850054928606,-6510.500691661877,-8688.06919040548,-13783.58316633247,-10021.103749155856,-2965.676350344909,0,N,N,67
